"","Precipitation","Month","Year"
"ppt201410bi",0,10,2014
"ppt201411bi",7.53000021,11,2014
"ppt201412bi",30.0699997,12,2014
"ppt201501bi",4.230000019,1,2015
"ppt201502bi",36,2,2015
"ppt201503bi",6.650000095,3,2015
"ppt201504bi",17.47999954,4,2015
"ppt201505bi",56.25999832,5,2015
"ppt201506bi",23.34000015,6,2015
"ppt201507bi",26.32999992,7,2015
"ppt201508bi",22.18000031,8,2015
"ppt201509bi",12.52000046,9,2015
"ppt201510bi",34.59000015,10,2015
"ppt201511bi",32.65999985,11,2015
"ppt201512bi",58.18999863,12,2015
